Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
TREAD,2020,Bangalore,Technology,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0,Pre-Seed
Anveshan,2019,Bangalore,Food and Beverages,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000.0,Pre-Seed
TeaMonk,2016,Bangalore,Food and Beverages,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000.0,Pre-Series
Fleetx,2017,Gurugram,Technology,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",3000000.0,Series A
ReNEWate,2018,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Supratik Ghatak,Real Estate Accelerator Program,3000000.0,Pre-Seed
Tango Eye,2018,Chennai,Technology,Retail Video Analytics SaaS product,Surender Gounder,"Riso Investments, Lenskart",3000000.0,Seed
Rare Planet,2015,Kolkata,Retail,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,3000000.0,Pre-Series
Avataa Me,2014,Bangalore,Technology,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Gaurav Baid,Sequoia Capital India,7000000.0,Series A
Arrival,2015,London,Technology,Arrival is a technology company that specializes in developing electric vehicles.,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company",118000000.0,Unknown Stage
Cover Genius,2014,Sydney,Finance,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,"Angus McDonald, Chris Bayley","King River Capital, Leap Capital",15000000.0,Unknown Stage
Phononic Vibes,2018,Milano,Technology,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",unknown,2300000.0,Unknown Stage
MikeLegal,2017,Gurugram,Services,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,"Tushar Bhargava, Anshul Gupta","SOSV, Artesian",3000000.0,Seed
Clair,2019,New York,Finance,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",4500000.0,Seed
Gourmet Garden,1999,Palmwoods,Retail,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,Arjun Balaji,Advent Partners,3000000.0,Unknown Stage
Miko,2015,Mumbai,Technology,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital",3000000.0,Series A
Razorpay,2014,Bangalore,Finance,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",100000000.0,Later Stage
Ninjacart,2015,Bangalore,Food and Beverages,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart",30000000.0,Unknown Stage
Wow! Momo,2008,Kolkata,Food and Beverages,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell",5000000.0,Debt Financing
Pepper Content,2017,Mumbai,E-commerce,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000.0,Series A
LIVSPACE,2014,Bangalore,Lifestyle,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",4000000.0,Debt Financing
Acculi Labs,2017,Bangalore,Health,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,600000.0,Seed
Your MD,2012,London,Health,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi","Orkla Ventures, Smedvig Capital",25000000.0,Unknown Stage
Antaios,2016,France,Technology,Developer of memory-based technology intended to solve issues of advanced computing.,Jean Pierre Nozieres,unknown,11000000.0,Unknown Stage
Unnati,2017,Noida,Agriculture,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,1700000.0,Pre-Series
Disprz,2015,Chennai,Education,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital",1600000.0,Series A
Uni,2016,Mumbai,Finance,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Nitin Gupta,"Lightspeed India Partners, Accel India",18500000.0,Seed
Credit Wise Capital,1994,Mumbai,Finance,CreditWise Capital is a consumer finance company.,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,6000000.0,Seed
Chargebee,2011,San Francisco,Technology,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital",55000000.0,Later Stage
Reliance Retail Ventures Ltd,2006,Mumbai,Retail,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"Silver Lake, Mubadala Investment Company",70000000000.0,Unknown Stage
Winuall,2019,Bangalore,Education,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.","Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani",2000000.0,Unknown Stage
Genrobotics,2015,Trivandrum,Technology,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,300000.0,Unknown Stage
Livve,2015,Cochin,Accomodation,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Maya Lakshman,unknown,1500000.0,Seed
Ergos,2012,Samastipur,Agriculture,Ergos is building an integrated supply chain by setting up micro warehouses.,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",5000000.0,Series A
Krishitantra,2017,Hyderabad,Agriculture,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",1000000.0,Seed
PakkaProfile,2019,Bangalore,Human Resources,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games","Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,3000000.0,Seed
Monet Networks,2014,Irvine,Technology,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,Anurag Bist,"SenseAI Ventures, EvoNexus",500000.0,Pre-Series
Unocoin,2013,Tumkur,Finance,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.","Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray","Digital Finance Group, FundersClub",3000000.0,Series A
Pesto,2017,New Delhi,Education,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,"Andrew Linfoot, Ayush Jaiswal","Sriharsha Majety, Rahul Jaimini",3000000.0,Unknown Stage
NirogStreet,2016,Gurugram,Health,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar,"Wavemaker Partners, Subho Ray",2000000.0,Pre-Series
Bambrew,2018,Bangalore,Services,Bambrew is an online shop for reusable bamboo straws.,Vaibhav Anant,Upsparks,3000000.0,Pre-Seed
Omnify,2016,San Francisco,Technology,Omnify is a Global SaaS platform for Small Services Business,"Kabandi Saika, Manik Mehta","Saurabh Arora, LD Sharma",3000000.0,Pre-Series
Fanball XI,2016,New Delhi,Technology,The gaming company mostly focused on fantasy football games,Vinayak Seth,Foxhog Ventures,1000000.0,Seed
Treebo Hotels,2015,Bangalore,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.","Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy",6000000.0,Unknown Stage
GPS Renewables,2010,Bangalore,Health,To solve the urban waste problem by utilising local technologies and business models.,"Mainak, Sreekrishna","Triodos, Caspian",3000000.0,Series A
Public,2019,New Delhi,Media & Entertainment,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Azhar Iqubal,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",30000000.0,Unknown Stage
Legal Salah,2015,Kolkata,Services,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,CA Abhinit Singh,I2I Capitals,1000000.0,Seed
FanPlay,2018,New Delhi,Technology,FanPlay Technologies operates as a real-money gaming startup.,"Bharat Gupta, Pritesh Kumar","Core91 Fund, Anupam Mittal",3000000.0,Seed
ECOSTP,2017,Bangalore,Health,Eco friendly zero power zero maintenance sewage treatment plant in India.,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,19000000.0,Unknown Stage
Coralogix,2013,San Francisco,Technology,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",25000000.0,Series B
Equiwatt,2015,Newcastle,Technology,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,"Johnson Fernandes, Ravneet Kaur",Rising Stars,300000.0,Unknown Stage
Reliance Retail Ventures,2006,Mumbai,E-commerce,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts",800000000.0,Unknown Stage
Zhangmen,2005,Shanghai,Education,Zhangmen is an online tutoring platform provides tutoring courses to students.,Yi Zhang,"CICC Alpha, VMS Asset Management",400000000.0,Unknown Stage
AgroWave,2017,Gurugram,Agriculture,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Anu Meena,Sekhar Puli,500000.0,Unknown Stage
Sapio Analytics,2018,Mumbai,Technology,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,"Ashwin Srivastava, Hardik Somani",unknown,150000.0,Unknown Stage
Taimei,2013,Jiaxing,Health,Taimei Technology provides a cloud platform for clinical research collaboration.,Lu Zhao,"Cowin Venture, ZSVC",176000000.0,Unknown Stage
Avanse Financial Services,2012,Mumbai,Finance,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",Amit Gainda,International Finance Corporation,15000000.0,Unknown Stage
Industry Buying,2013,New Delhi,E-commerce,India's largest industrial ecommerce platform,"Rahul Gupta, Swati Gupta","BlackSoil, BEENEXT",15000000.0,Unknown Stage
Hopscotch,2011,Mumbai,E-commerce,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",Rahul Anand,"Marc Lore, Rise Capital",25000000.0,Unknown Stage
