Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
NoBroker,2014,Bangalore,Real Estate,Online real estate rental startup,"Amit Kumar Agarwal, Akhil Gupta, Saurabh Garg",General Atlantic,30000000.0,Unknown Stage
Box8,2011,Mumbai,Food and Beverages,Enables to order food online,"Amit Raj, Anshul Gupta","IIFL Seed Ventures Fund, Menlo park",4000000.0,Unknown Stage
Capital Float,2013,Bangalore,Finance,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon",15000000.0,Unknown Stage
ITILITE,2016,Bangalore,Technology,Platform for business travel,"Mayank Kukreja, Anish Khadiya","Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B
Morning Context,2016,Bangalore,Media & Entertainment,A subscription-only digital media publisher,unknown,Angel investors,3000000.0,Seed
Aavenir,2019,Ahmedabad,Technology,Source-to-Pay Software,Ashish Bhandari,Accel,2000000.0,Seed
Savvy Co op,2016,Bangalore,Health,It connects patients with healthcare companies,Jen Horonjeff,Indie VC,3000000.0,Unknown Stage
BLive,2018,Bangalore,Hospitality,"It offers experiential, guided tours on smart electric bikes","Samarth Kholkar, Sandeep Mukherjee",Mumbai Angels Network,3000000.0,Pre-Seed
Yellow Messenger,2016,Bangalore,Technology,It offers conversational chatbots,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B
Toch,2016,Bangalore,Media & Entertainment,AI based Video object detection and Tagging platform,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",Inflection Point Ventures,400000.0,Unknown Stage
Ewar,2016,Bangalore,Technology,E-sports and real-time gaming startup,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",200000.0,Unknown Stage
Setu,2016,Bangalore,Finance,"Offers open APIs across four categories: bills, savings, credit, and payments.","Sahil Kini, Nikhil Kumar","Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",14259000.0,Series A
Wellthy Therapeutics,2016,Bangalore,Health,It offers a digital therapeutics service,Abhishek Shah,Saama Capital,4000000.0,Pre-Seed
Power Gummies,2018,Delhi,Health,Offers health supplements related gummies,Divij Bajaj,Venture Catalysts,3000000.0,Unknown Stage
Locale ai,2019,Bangalore,Technology,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,"Rishabh Jain, Aditi Sinha",Better Capital,3000000.0,Unknown Stage
FarEye,2016,Delhi,Transportation & Logistics,"It enables businesses to execute, track, predict and oprimize the movements of goods","Gaurav Srivastava, Gautam Kumar, Kushal Nahata","M12, Honeywell venture capital, Eight Roads Venture",24500000.0,Later Stage
Rebel Foods,2016,Bangalore,Food and Beverages,It runs internet kitchen,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,50000000.0,Unknown Stage
BankBazaar,2008,Chennai,Finance,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden SKT Venture Fund",3800000.0,Later Stage
Porter,2014,Mumbai,Transportation & Logistics,Logistics and fleet management,"Pranav Goel, Uttam Digga",Lightstone Global Funds,18370000.0,Later Stage
SugarBox,2016,Mumbai,Technology,Hyperlocal data distribution platform,Rohit Paranjpe,Zee Entertainment Enterprises Limited,68525000.0,Unknown Stage
Capital Float,2013,Bangalore,Finance,Online platform that provides working capital finance to SMEs,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja",4800000.0,Later Stage
Big Basket,2016,Bangalore,E-commerce,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Alibaba Holdings,60000000.0,Unknown Stage
Amica,2016,Bangalore,Finance,Neobanking startup,Jitendra Gupta,"Hummingbird Ventures, Bedrock Capital",2000000.0,Unknown Stage
Vedantu,2016,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Legend Capital,12500000.0,Series C
Fingerlix,2016,Bangalore,Food and Beverages,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,","Shrikrishna Bharambe, Shripad Nadkarni, Varun Khanna, Abhijit Berde","Accel, Zephyr Peacock, Swiggy, RB Investments.",1834000.0,Unknown Stage
Plop,2016,Mumbai,Technology,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,"Vineet Shetty, Anushka Shetty","Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",3000000.0,Angel
Zupee,2018,Bangalore,Technology,It runs live quiz tournaments on its app.,"Malhi, Siddhant Saurabh",Matrix Partners,8000000.0,Series A
DeHaat,2012,Bangalore,Agriculture,Online marketplace for farming services and products,Shashank Kumar,Sequoia Capital India,12000000.0,Series A
Lido Learning,2016,Mumbai,Education,Online teaching service,Sahil Sheth,Bace Capital,7500000.0,Series B
Aye Finance,2014,Gurugram,Finance,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Undisclosed,23850000.0,Unknown Stage
Swiggy,2014,Bangalore,Food and Beverages,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",43000000.0,Series A
Akna Medical,2018,Bangalore,Health,Provides supply solutions for surgical and pharmaceutical products.,"Saurabh Pandey, Mahadevan Narayanamoni",LGT Lightstone Aspada,7000000.0,Unknown Stage
Zomato,2016,Gurugram,Food and Beverages,Online food delivery and restaurant discovery platform,Deepinder Goyal,Pacific Horizon,5000000.0,Unknown Stage
RaRa Delivery,2016,Bangalore,Transportation & Logistics,Provides same day delivery service for ecommerce businesses,Karan Bhardwaj,"Der Shing Lim, 500 startups",800000.0,Seed
JusPay,2016,Bangalore,Finance,Online payment solutions,Vimal Kumar,Vostok Emerging Finance,21600000.0,Series B
Obviously AI,2018,Bangalore,Technology,It provides predictive insights to clients by leveraging their data,"Tapojit Debnath, Nirman Dave",Arka Venture Labs,3000000.0,Unknown Stage
Fingpay,2016,Mumbai,Finance,Provides payment solutions,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures,3500000.0,Series A
Recko,2017,Bangalore,Technology,The platform enables AI-powered reconciliation of digital transactions,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,6000000.0,Series A
Furlenco,2012,Bangalore,E-commerce,Furniture rental startup,Ajith Mohan Karimpana,"Chowdry Associates, Lightbox",10000000.0,Unknown Stage
Mera Cashier,2019,Noida,Finance,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Gaurav Tomar, Sucharita Redd","Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",150000.0,Unknown Stage
Kitchens Centre,2019,Delhi,Finance,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,Lakshay Jain,AngelList India,500000.0,Seed
Camp K12,2016,Gurugram,Education,It connects students with tutors online,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners",4000000.0,Seed
MedGenome,2013,Bangalore,Health,Genetic diagnostic testing company,Sam Santhosh,LeapFrog Investments,55000000.0,Later Stage
Ergos,2016,Bangalore,Agriculture,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,"Kishor Jha, Praveen Kumar",Aavishkar Capital,4598000.0,Unknown Stage
Nykaa,2012,Mumbai,E-commerce,Deals in cosmetic and wellness products,Falguni Nayar,Steadview capital,13137000.0,Unknown Stage
Samadhan,2018,Delhi,Finance,They help find solutions to insurance related issues,"Deepak Bhuvneshwari Uniyal, Shilpa Arora, Shailesh Kumar, Sanjay Aggarwal",Venture Catalysts,3000000.0,Seed
SaScan,2016,Bangalore,Health,Cancer diagnostics startup,Subhash Narayanan,Unicorn India ventures,3000000.0,Unknown Stage
Lido Learning,2016,Mumbai,Education,Online teaching service,Sahil Sheth,"Pecus Capital, Madhur Deora",3000000.0,Unknown Stage
CureFit,2016,Bangalore,Health,"Integrated platform for food, fitness and meditation.","Mukesh Bansal, Ankit Nagori",Temasek,115000000.0,Later Stage
Nimesa,2018,Bangalore,Technology,Cloud data managemnt solutions enterprise,"Tapesh Goyal, Rajesh Vaidhyanathan",Ideaspring capital,3000000.0,Unknown Stage
Design X,2016,Noida,Technology,Builds IoT based products,Preet Arjun Singh,ThinkNext LLC,200000.0,Seed
Driftly Electric,2016,Bangalore,Manufacturing,Electric vehicle startup,Sneha Roy,MG Motor India,3000000.0,Unknown Stage
Imstrong,2019,Bangalore,Lifestyle,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,400000.0,Seed
Craftsvilla,2016,Mumbai,Retail,Online marketplace for ethnic wear,Monica Gupta. Manoj Gupta,Supera Investments,3900000.0,Unknown Stage
Rupifi,2020,Bangalore,Finance,Offers financial products for SMEs,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Ashneer Grover, Kunal Shah, Ramakant Sharma",3000000.0,Angel
SnackAmor,2016,Mumbai,Food and Beverages,It offers various healthy snacks,Deepak Grover,Undisclosed,3000000.0,Seed
Zealthy,2019,Bangalore,Health,"It connects women to healthproviders for specialities like infertility, maternity etc.,","Rishi Malhotra, Akhil Gupta","KYT Ventures, First Cheque, AngelList",3000000.0,Seed
CoinDCX,2016,Bangalore,Finance,A cryptocurrency trading platform,Sumit Gupta,"Polychain Capital, Bain Capital Ventures, HDR Group",3000000.0,Series A
NuNu TV,2016,Bangalore,Media & Entertainment,Kids-focussed Youtube channel,unknown,Risers Accelerators,670000.0,Unknown Stage
QTalk,2016,Bangalore,Technology,Smart Phone Dialer,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners",1600000.0,Seed
Shadez,2018,Mumbai,Lifestyle,Paint Company,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,100000.0,Seed
Excess2Sell,2016,Mumbai,E-commerce,B2B Marketplace for Overstock & Surplus Inventory,Rajan Sharma,Gautham Madhavan,1000000.0,Unknown Stage
Stanplus,2016,Hyderabad,Health,Ambulance service,Prabhdeep Singh,Pegasus FinInvest,1500000.0,Pre-Seed
Pitstop,2016,Bangalore,Manufacturing,Doorstep car service,Mihir Mohan mishra,TPG-backed Group Landmark,2500000.0,Series A
Univariety,2015,Hyderabad,Education,Online marketplace that provides career counselling and college guidance,Jaideep Gupta,Info Edge,1100000.0,Unknown Stage
Peel Works,2010,Mumbai,Technology,E-commerce for corner/retail stores.,"Sachin Chhabra, Nidhi Ramachandran",CESC Ventures,3000000.0,Later Stage
CoreStack,2016,Chennai,Technology,Enterprise cloud governance technology startup,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,8500000.0,Series A
Vivriti Capital,2017,Chennai,Finance,Digital lending startup,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,50000000.0,Series B
Agnikul,2016,Chennai,Engineering,"It designs, fabricates, tests and launch orbital class launch vehicles",Srinath Ravichandran,pi Ventures,3148000.0,Pre-Seed
Fintso,2020,Bangalore,Finance,Wealth management platform,"George Mitra, Rajan Pathak","Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta",2600000.0,Unknown Stage
Khatabook,2016,Bangalore,Finance,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,Mahendra Singh Dhoni,3000000.0,Unknown Stage
Smart Coin,2015,Bangalore,Finance,Consumer lending startup,"Amit Chandel, Rohit Garg, Vinay Kumar, Jayant Upadhyay",LGT LightstoneAspada,7000000.0,Series A
ZunRoof,2016,Gurugram,Health,"It specialises in solar rooftop design, installation, and management using technology","Pranesh Chaudhary, Sushant Sachan",Godrej Investments,3000000.0,Series A
Shop101,2015,Bangalore,E-commerce,Enables entrepreneurs to sell online,"Abhinav Jain, Aditya Gupta","Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",3900000.0,Series C
OM Bhakti,2016,Bangalore,Retail,A puja cotton-wicks manufacturing startup,"Sridhar Joshi, Prashant Kulkarni",Venture Catalysts,3000000.0,Seed
Lal10,2016,Uttar Pradesh,Services,It helps Indian artisans and SMEs reach out to global retailers,"Maneet Gohil, Sanchit Govil, Albin Jose",Sorenson Impact,1100000.0,Unknown Stage
Anaxee Digital Runner,2016,Indore,Technology,A tech-enabled ID verification and data collection startup,"Govind Agrawal, Arti Agrawal",Orios Venture Partners,3000000.0,Unknown Stage
CollegeKhabri,2019,Bhopal,Education,Platform is an end-to-end college and career counselling platform for students,Arshi Khan,Vishal Dixit,3000000.0,Unknown Stage
Ola Electric,2016,Bangalore,Transportation & Logistics,Electric vehicle,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund,1000000.0,Unknown Stage
Multi Living,2016,Mumbai,Real Estate,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",Pankaj Singh,Lodha Ventures,6000000.0,Unknown Stage
FamPay,2016,Bangalore,Finance,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Seed
UnboxRobotics Labs,2016,Bangalore,Technology,Automated flexible parcel sorting solutions for logistics providers,Pramod Ghadge,"Arali Ventures, CIIE.CO",500000.0,Seed
Karbon Card,2016,Bangalore,Finance,Specialisde corporate cards for startups,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Seed
Airmeet,2016,Bangalore,Media & Entertainment,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups","Lalit Mangal, Vinay Jaasti, Manoj Singh",Accel India,3000000.0,Unknown Stage
Innerchef,2016,Gurgaon,Food and Beverages,Cloud kitchen platform,Rajesh,Mistletoe,1000000.0,Unknown Stage
Epigamia,2015,Mumbai,Retail,Flavoured and greek yoghurt brand,Rohan Mirchandani,KA Enterprise,3000000.0,Series C
StyleNook,2016,Mumbai,E-commerce,Marketplace for fashionable apparel,Lathika Pai,"Lead Angels Network, Stanford Angels",3000000.0,Unknown Stage
Callido Learning,2016,Mumbai,Education,Provides a structured educational approach to critical thinking and problem solving skills,Sriram Subramanian,Education Catalyst Fund,3000000.0,Unknown Stage
Soxytoes,2016,Delhi,E-commerce,Online store to buy various types of socks including funky and colorful socks,"Vidushi Kajaria, Aayush Goenka",Angel network,3000000.0,Unknown Stage
F5,2018,Delhi,E-commerce,Retail Aggregator,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors,3000000.0,Seed
Paper Boat,2013,Bangalore,Food and Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture",4049500.0,Unknown Stage
Strata,2019,Bangalore,Technology,Real estate investment platform,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",1500000.0,Seed
Salesken,2016,Bangalore,Technology,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,8000000.0,Series A
Arya,2016,Noida,Agriculture,Provides post-harvest services across the agricultural value chain,Prasanna Rao,LGT Lightstone Aspada,6000000.0,Series B
Leap Finance,2016,Bangalore,Finance,Provides education loans to students based on the student’s future income,"Vaibhav Singh, Arnav Kumar",Sequoia India,5500000.0,Unknown Stage
Sleepy Owl,2016,Delhi,Food and Beverages,"It sells ready to drink cold brew coffees, brew boxes and packs.","Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital,3000000.0,Unknown Stage
Tricog,2015,Bangalore,Health,Provides virtual cardiology services through its AI-powered healthcare platforms,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000.0,Series B
GogoBus,2016,Delhi,Transportation & Logistics,Inter-City Mobility Startup,Amit Gupta,Ixigo,3000000.0,Unknown Stage
Trell,2016,Bangalore,E-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",4000000.0,Pre-Seed
Spaciya Consultants,2016,Noida,Real Estate,Real estate consultancy firms,Ajit Panda,Alok Garg,500000.0,Pre-Seed
Bounce,2014,Bangalore,Services,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital,6500000.0,Unknown Stage
Neeman,2017,Bangalore,E-commerce,An eco-conscious footwear brand making comfortable shoes using Merino Wool,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund,1000000.0,Pre-Seed
Chqbook,2017,Gurugram,Finance,"Marketplace for small business owners, offering them products around lending, credit cards etc","Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,5000000.0,Series A
SMEcorner,2014,Mumbai,Finance,Financial lending firm to SMEs,"Bhatia, Sneha Shah",Paragon Partners,30000000.0,Series B
Oda Class,2016,Bangalore,Education,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni","Li Yong, Shushant Srivastava",Yuanfudao,3000000.0,Pre-Seed
Spinny,2015,Haryana,Technology,Used car retailing platform,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal",43700000.0,Series B
goStops,2012,Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,"Pallavi Agarwal, Pankaj Parwanda",Atraxn Partners.,3000000.0,Unknown Stage
Umeed Housing,2016,Haryana,Finance,Housing finance company,Ashutosh Sharma,Morgan Stanley Private Equity Asia,23000000.0,Later Stage
Vogo,2016,Bangalore,Manufacturing,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,20000000.0,Series C
Flick Stree,2016,Mumbai,Media & Entertainment,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,3000000.0,Series A
Qure ai,2016,Mumbai,Health,Provides interpretations of radiology scans,"Prashant Warier, Pooja Rao",Sequoia India,16000000.0,Unknown Stage
MinionLabs,2016,Bangalore,Technology,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Gokul Shrinivas,Indian Angel Network,3000000.0,Unknown Stage
Josh Talks,2015,Haryana,Media & Entertainment,Community of young individuals providing a platform to showcase their stories,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,1500000.0,Pre-Seed
PhoneParLoan,2015,Delhi,Finance,Provides easy loans,Ringaile Noq,Accelerator MOX,3000000.0,Unknown Stage
RailYatri,2011,Noida,Lifestyle,A complete Indian railways app,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation",13800000.0,Unknown Stage
AjnaLens,2014,Thane,Technology,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)",1500000.0,Pre-Seed
Pepper,2017,Mumbai,E-commerce,End to end content creation platform,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",306900.0,Seed
Rupeek,2015,Bangalore,Finance,An asset backed online lending platform,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",30000000.0,Unknown Stage
iMerit,2012,Kolkata,Technology,Turns information into data that is usable for machine learning processes,Radha Basu,CDC Group Plc,20000000.0,Series B
BharatPe,2018,Delhi,Finance,Digital payments platform,Ashneer Grover,Ribbit Capital,75000000.0,Series C
Invideo,2016,Bangalore,Media & Entertainment,Video production and editing platform,Sanket Shah,Sequoia Capital’s Surge,2500000.0,Unknown Stage
AvalonMeta,2017,Bangalore,Education,It combines higher education and competitive gaming,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,420000.0,Unknown Stage
Near Store,2016,Mumbai,E-commerce,Enables a shop to create an online presence,unknown,Sauce.vc,300000.0,Seed
ElecTorq,2016,Delhi,Manufacturing,Electric vehicle startup,Anubhav Sharma,AdvantEdge,3000000.0,Unknown Stage
Prayaan Capital,2016,Chennai,Finance,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,1200000.0,Seed
Sanfe,2016,Delhi,Health,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000.0,Pre-Seed
Go Desi,2018,Delhi,Food and Beverages,Provides traditional delicacies,Vinay Kothari,Rukam Capital,627300.0,Seed
Swiggy,2014,Bangalore,Food and Beverages,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,113000000.0,Series A
Whatfix,2014,Bangalore,Technology,"Digital adoption platform that helps companies provide intuitive onboarding, training and support","Khadim Batti, Vara Kumar",Sequoia Capital India,32000000.0,Series C
Unacademy,2010,Bangalore,Education,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",110000000.0,Later Stage
Zvesta,2015,Gurugram,Technology,An online platform where users can search and buy properties listed by developers and brokers,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures,5500000.0,Unknown Stage
Dunzo,2014,Bangalore,Transportation & Logistics,India-based hyperlocal delivery startup,Kabeer Biswas,Alteria Capital,11000000.0,Unknown Stage
Digit Insurance,2016,Bangalore,Finance,General Insurance Company,Kamesh Goyal,"Virat Kohli, Anushka Sharma",340000.0,Unknown Stage
Yolo,2019,Gurugram,Transportation & Logistics,Intercity transportation,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000.0,Seed
SmartVizX,2015,Bangalore,Technology,It developed India’s first VR-based design communication and collaboration product Trezi,"Tithi Tewari, Gautam Tewari",Rockstud Capital,1397000.0,Pre-Seed
MaxWholesale,2016,Delhi,E-commerce,B2B ecommerce platform for kirana stores,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)",3000000.0,Series A
Carbon Clean,2009,Bangalore,Health,Develops affordable carbon capture technology,"Aniruddha Sharma, Prateek Bumb","WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",16000000.0,Unknown Stage
Onsitego,2016,Bangalore,Retail,It offers post-purchase services through a network of brand authorised service centres throughout the country,Mahipal,Zodius Growth Fund,19000000.0,Series B
Genius Corner,2014,Noida,Education,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,"Vishal Khatter, Dheeraj Khatter, Dipak Varshney","Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",250000.0,Unknown Stage
PlanetSpark,2016,Gurugram,Education,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels",448500.0,Unknown Stage
CamCom,2017,Bangalore,Technology,AI automation platform for enterprise quality control,"Ajith Nayar, Umesh, Mahesh Subramanian","Triton Investment Advisors,",3000000.0,Unknown Stage
Simsim,2016,Bangalore,E-commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital",8000000.0,Series B
Shuttl,2015,Delhi,Transportation & Logistics,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,7975700.0,Series C
HooLiv,2016,Delhi,Accomodation,Student Co-living startup,"Chinmoy Mishra, Gaurav Vij, and Abhishek Verma",Kolte-Patil Family Office,3000000.0,Unknown Stage
ClassMonitor,2016,Indore,Education,The learning platform that blends curriculum-based activities for children,"Vijeet Pandey, Vikas Rishishwar",Ashwin Khorana,3000000.0,Unknown Stage
Friyey,2016,Pune,Real Estate,Co working space startup,Yogesh Thore,Tarun Bhalla,3000000.0,Unknown Stage
Oga,2016,Bangalore,Lifestyle,Provides interactive fitness experience to people across the world,Ashish Rawat,Inflection Point Ventures,330000.0,Unknown Stage
Big Basket,2016,Bangalore,E-commerce,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Trifecta Capital,3500000.0,Unknown Stage
CYFIRMA,2016,Bangalore,Technology,Offer cybersecurity services,Ritesh Kumar,Z3 Partners,3000000.0,Series A
Innoviti,2016,Bangalore,Finance,Digital payments solutions company,Rajeev Agrawal,FMO,5000000.0,Unknown Stage
Paytm money,2010,Bangalore,Finance,Wealth Management,Vijay Shekhar Sharma,One97 Communications,5600000.0,Unknown Stage
Vedantu,2016,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",GGV Capital,24000000.0,Series C
Yap,2016,Chennai,Finance,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta",1402000.0,Unknown Stage
Clover,2016,Bangalore,Agriculture,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield",5500000.0,Series A
Nova Credit,2016,Bangalore,Finance,Cross-border consumer credit startup,Nicky Goulimis,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",50000000.0,Series B
CodingNinjas,2016,Delhi,Education,Online learning platform,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,5200000.0,Series A
Furlenco,2011,Bangalore,E-commerce,Furniture rental startup,Ajith Mohan Karimpana,Chowdry Associates,2200000.0,Series C
Brick&Bolt,2018,Bangalore,Finance,Operates in the residential construction space,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,1500000.0,Pre-Seed
HempStreet,2019,Bangalore,Health,Manufacturer of ayurvedic medicines based on cannabis,Abhishek Mohan,Pharmacon Holdings,1000000.0,Pre-Seed
MoEngage,2016,Bangalore,Marketing and advertising,Customer analytics and cross-channel engagement platform,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,25000000.0,Series C
Classplus,2018,Bangalore,Education,It allows coaching centres to take their brick-and-mortar setup online,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia",2500000.0,Pre-Seed
Chaayos,2012,Bangalore,Food and Beverages,Provides customised range of tea,"Nitin Saluja, Raghav Verma",Think Investment,21500000.0,Unknown Stage
PetPooja,2011,Ahmedabad,Technology,Restaurant management software provider,Apurv Patel,Udaan,2000000.0,Unknown Stage
Altor,2016,Bangalore,Technology,Makes helmets that are IoT and AI enabled,"Shamik Guha, Sayan Tapadar, Muhammad Bilal Shakil, Anirban Datta Gupta",Venture Catalysts,3000000.0,Unknown Stage
Pepperfry,2013,Mumbai,E-commerce,Online home furniture marketplace,"Ambareesh Murty, Ashish Shah",Pidilite Industries,40000000.0,Later Stage
FirstCry,2010,Pune,E-commerce,Baby products marketplace,"Supam Maheshwari, Amitava Saha",Softbank’s Vision Fund,296000000.0,Later Stage
Byju,2011,Bangalore,Education,Provides online learning classes,Byju Raveendran,General Atlantic,200000000.0,Unknown Stage
Waycool,2015,Chennai,Agriculture,Food development and distribution services,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,32000000.0,Series C
WorkIndia,2016,Bangalore,Human Resources,An online and mobile-based platform that connects companies with blue collar employees.,Kunal Patil,Xiaomi,6000000.0,Unknown Stage
